,target,text
35,0,"Oops, I'll let you know when my roommate's done"
3160,0,How much did ur hdd casing cost.
4937,0,G wants to know where the fuck you are
1797,0,Can i get your opinion on something first?
2776,0,Send me your id and password
4601,1,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop
1105,0,on hen night. Going with a swing
2331,0,At home by the way
2230,0,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
4810,0,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
4604,0,THANX 4 PUTTIN DA FONE DOWN ON ME!!
1615,0,Mm i had my food da from out
4643,0,Sorry i din lock my keypad.
2492,0,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
5412,0,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx
1580,0,"I shall book chez jules for half eight, if that's ok with you?"
675,0,"I dont knw pa, i just drink milk.."
5468,0,Ok lor.
461,0,Great. Never been better. Each day gives even more reasons to thank God
1366,0,Bbq this sat at mine from 6ish. Ur welcome 2 come
3715,0,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
4365,0,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.
3405,0,"Jus chillaxin, what up"
1127,0,"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D"
1430,0,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
4207,0,"Lets use it next week, princess :)"
3832,0,Ok.
2504,0,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*"
2027,0,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
85,0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
76,0,I like you peoples very much:) but am very shy pa.
100,0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
4698,0,Don no da:)whats you plan?
374,1,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
3722,0,I'm in a movie... Collect car oredi...
2383,0,Your pussy is perfect!
1693,0,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
2466,0,He is world famamus....
534,0,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
2001,0,Idea will soon get converted to live:)
4509,0,Ãœ takin linear algebra today?
731,0,No he didn't. Spring is coming early yay!
336,0,Cool. So how come you havent been wined and dined before?
3176,0,Havent still waitin as usual... Ãœ come back sch oredi?
3422,1,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly
1296,0,Sure! I am driving but will reach my destination soon.
329,0,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
808,0,I am taking half day leave bec i am not well
542,0,But am going to college pa. What to do. are else ill come there it self. Pa.
5335,0,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
2674,0,I am 6 ft. We will be a good combination!
578,1,"our mobile number has won Â£5000, to claim calls us back or ring the claims hot line on 09050005321."
5068,0,Talk to g and x about that
2124,0,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
1383,0,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
453,0,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
1737,0,I cant pick the phone right now. Pls send a message
2913,0,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
1034,0,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
2350,0,You will be in the place of that man
4350,0,Yes. Rent is very expensive so its the way we save.
1709,0,U meet other fren dun wan meet me ah... Muz b a guy rite...
1525,0,Pls pls find out from aunt nike.
3295,0,Dunno lei Ã¼ all decide lor. How abt leona? Oops i tot ben is going n i msg him.
4557,0,I am in hospital da. . I will return home in evening
1675,0,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
4422,0,MMM ... Fuck .... Merry Christmas to me
763,0,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
844,0,K.k:)when are you going?
3698,0,S:)but he had some luck.2 catches put down:)
3902,0,"Right on brah, see you later"
62,0,"Sorry my roommates took forever, it ok if I come by now?"
287,0,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
4873,0,Lol! Oops sorry! Have fun. 
993,0,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
20,0,Iâ€˜m going to try for 2 months ha ha only joking
36,0,I see the letter B on my car
1798,0,That one week leave i put know that time. Why.
4954,0,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
2730,0,I havent lei.. Next mon can?
1538,0,Midnight at the earliest
3916,0,Ok. C u then.
1250,0,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
3335,0,"Sorry, got a late start, we're on the way"
3510,0,I just saw ron burgundy captaining a party boat so yeah
2025,0,"Yes obviously, but you are the eggs-pert and the potato headâ€¦ Speak soon! "
2259,0,Ill call you evening ill some ideas.
2744,0,"Tick, tick, tick ... Babe"
3520,0,No it will reach by 9 only. She telling she will be there. I dont know
4730,0,I dont know ask to my brother. Nothing problem some thing that. Just i told .
4805,0,Sorry for the delay. Yes masters
5125,0,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
4493,0,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
2402,0,Oh oh... Wasted... Den muz chiong on sat n sun liao...
4883,0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
3311,0,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
3891,0,No problem. We will be spending a lot of quality time together...
719,0,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
1756,0,Lmao ok I wont be needing u to do my hair anymore.
3185,0,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
5508,0,Lol they were mad at first but then they woke up and gave in.
3237,0,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.
4993,0,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."
1432,0,Thanks for ve lovely wisheds. You rock
1244,0,Now? I'm going out 4 dinner soon..
1174,0,Yay! You better not have told that to 5 other girls either.
3118,0,R u saying i should re order the slippers cos i had to pay for returning it.
2604,0,You call times job today ok umma and ask them to speed up
5135,0,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
4876,1,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
3278,0,What happened in interview?
1710,0,"(No promises on when though, haven't even gotten dinner yet)"
2739,0,Are you this much buzy
1927,0,Omg it could snow here tonite!
2386,0,No message..no responce..what happend?
5194,0,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
5360,0,Yep get with the program. You're slacking.
4657,1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
476,0,Love you aathi..love u lot..
533,0,I'll be late...
3500,1,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
1463,0,Ok good then i later come find Ã¼... C lucky i told Ã¼ to go earlier... Later pple take finish Ã¼ no more again...
227,0,Hey company elama po mudyadhu.
1436,0,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
2652,0,No need for the drug anymore.
5102,0,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
4270,0,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
170,0,"Sir, I need AXIS BANK account no and bank address."
389,0,Yup having my lunch buffet now.. U eat already?
2619,1,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
2670,0,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
3301,1,RCT' THNQ Adrian for U text. Rgds Vatian
2502,0,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry"
4017,0,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
5442,1,You have won a guaranteed 32000 award or maybe even Â£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
4487,0,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
4441,0,I'm going 2 orchard now laready me reaching soon. U reaching?
1330,0,"Aight no rush, I'll ask jay"
2148,0,I will once i get home
4170,0,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
4665,0,Ok set let u noe e details later...
1942,0,K...k:)why cant you come here and search job:)
2453,0,How much she payed. Suganya.
3623,0,"Damn, poor zac doesn't stand a chance"
2477,0,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne."
2437,1,"For ur chance to win Â£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
4090,1,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
2590,0,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
2425,0,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
4801,0,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
4374,0,K and you're sure I don't have to have consent forms to do it :V
1854,0,They did't play one day last year know even though they have very good team.. Like india.
932,0,So do you have samus shoulders yet
4793,0,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.
4194,0,Can not use foreign stamps in this country.
4666,0,Not..tel software name..
4741,0,Many more happy returns of the day. I wish you happy birthday.
1200,0,Otherwise had part time job na-tuition..
181,0,Lol no. U can trust me.
576,0,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
4439,0,i want to grasp your pretty booty :)
3196,0,"I av a new number,  . Wil u only use this one,ta."
2035,0,Simply sitting and watching match in office..
3668,0,Thanks for loving me so. You rock
3074,0,Don know. I did't msg him recently.
2046,0,"Aight fuck it, I'll get it later"
3210,0,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
2712,0,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
806,0,"sure, but make sure he knows we ain't smokin yet"
3,0,"Nah I don't think he goes to usf, he lives around here though"
3142,0,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
856,0,Going to take your babe out ?
1605,0,When you came to hostel.
4353,0,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits"
460,0,Where did u go? My phone is gonna die you have to stay in here
3155,0,Ok...
2537,0,That's y we haf to combine n c how lor...
3993,0,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
1064,0,"That's fine, I'll bitch at you about it later then"
2598,0,Okie... Thanx...
364,0,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
923,0,She went to attend another two rounds today..but still did't reach home..
896,0,Hope you are having a good week. Just checking in
2018,0,Ya it came a while ago
5177,1,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
5268,1,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
451,0,Thanks for this hope you had a good day today
1494,0,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
3978,0,Reason is if the team budget is available at last they buy the unsold players for at base rate..
1276,0,Can do lor...
2233,0,Good Morning plz call me sir
2672,0,Super msg da:)nalla timing.
1397,0,Then we wait 4 u lor... No need 2 feel bad lar...
2895,0,Went to ganesh dress shop
4825,0,I am going to sleep. I am tired of travel.
5437,0,What are youdoing later? Sar xxx
3057,0,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
2119,0,I hope you know I'm still mad at you.
2962,0,NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT
4858,0,Ok...
3767,0,"Sir Goodmorning, Once free call me."
3719,1,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
3054,0,What happened to our yo date?
4324,0,I am not having her number sir
5516,0,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt
152,0,Ok... Ur typical reply...
2458,0,"Cool, I'll text you when I'm on the way"
3204,0,She's good. How are you. Where r u working now
3022,0,How dare you change my ring
72,0,K..k:)where are you?how did you performed?
1376,0,Auntie huai juan never pick up her phone
1505,0,Total video converter free download type this in google search:)
2601,0,Okie
3826,0,"Goodmorning,my grandfather expired..so am on leave today."
3315,1,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
4355,0,"Sorry, I can't help you on this."
5368,0,Hi mom we might be back later than  &lt;#&gt; 
2489,0,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
5503,0,Wait . I will msg after  &lt;#&gt;  min.
1131,0,"Sorry, I'll call later"
246,0,I asked you to call him now ok
3347,0,No problem baby. Is this is a good time to talk? I called and left a message.
1212,0,"Yo, the game almost over? Want to go to walmart soon"
4118,0,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
257,0,Where are you lover ? I need you ...
3572,0,"Yup, leaving right now, be back soon"
4992,0,I'm hungry buy smth home...
182,0,ok. I am a gentleman and will treat you with dignity and respect.
5338,0,You'd like that wouldn't you? Jerk!
4412,0,If i said anything wrong sorry de:-)
5382,0,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
1302,0,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
4283,0,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend."
5376,1,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
2108,1,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk"
2703,0,Yup no more already... Thanx 4 printing n handing it up.
4488,0,Call me when you get the chance plz &lt;3
426,0,aathi..where are you dear..
760,1,"Romantic Paris. 2 nights, 2 flights from Â£79 Book now 4 next year. Call 08704439680Ts&Cs apply."
1320,0,"Just sent again. Do you scream and moan in bed, princess?"
1558,0,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
602,0,Speaking of does he have any cash yet?
5420,0,"Hi elaine, is today's meeting confirmed?"
4907,0,Then anything special?
3943,0,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
2392,0,"Thanks da thangam, i feel very very happy dear. I also miss you da."
3769,0,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
3765,1,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p "
4981,0,I said its okay. Sorry
4259,0,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
3669,0,Yeah imma come over cause jay wants to do some drugs
3604,0,Hey morning what you come to ask:-) pa...
3606,0,"That means you got an A in epi, she.s fine. She.s here now."
3800,1,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
2003,0,S....s...india going to draw the series after many years in south african soil..
12,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
3737,0,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
1257,0,Am also doing in cbe only. But have to pay.
1763,0,Joy's father is John. Then John is the NAME of Joy's father. Mandan
1014,0,"Ya, told..she was asking wats matter?"
3973,0,"Night night, see you tomorrow"
3684,0,Dad says hurry the hell up
3980,1,ringtoneking 84484
1117,1,"449050000301 You have won a Â£2,000 price! To claim, call 09050000301."
3904,1,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
1161,0,K. I will sent it again
5565,1,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
98,0,I see a cup of coffee animation
4939,0,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.
5144,0,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
2576,0,In sch but neva mind u eat 1st lor..
3946,0,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
3263,0,So u gonna get deus ex?
2819,0,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
2545,0,So are you guys asking that i get that slippers again or its gone with last year
4428,0,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
5314,0,Hahaha..use your brain dear
2178,0,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
1175,0,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
5512,0,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
305,0,Yup... From what i remb... I think should be can book... 
2127,0,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
1035,0,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
3064,0,Ok. How many should i buy.
5220,0,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
2435,0,Oh ya ya. I remember da. .
4250,0,How much for an eighth?
3787,0,WHORE YOU ARE UNBELIEVABLE.
1738,0,K go and sleep well. Take rest:-).
5174,0,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
3578,0,They said Ã¼ dun haf passport or smth like dat.. Or Ã¼ juz send to my email account..  
1052,0,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
4221,0,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
2160,0,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
4894,0,Convey my regards to him
1216,1,You have 1 new voicemail. Please call 08719181513.
3228,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
386,0,Customer place i will call you.
157,0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
3162,0,I can't describe how lucky you are that I'm actually awake by noon
3915,0,Ard 530 lor. I ok then message Ã¼ lor.
1446,0,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
2957,0,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
1914,1,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
264,0,Why you Dint come with us.
3247,0,* You gonna ring this weekend or wot?
811,0,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
722,0,That is wondar full flim.
5267,0,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx"
2885,0,Ãœ still attending da talks?
1080,0,You tell what happen dont behave like this to me. Ok no need to say
268,0,The evo. I just had to download flash. Jealous?
2551,0,I'm done. C Ã¼ there.
2850,0,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
2889,0,My battery is low babe
2908,0,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
4854,0,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
1531,0,Oh dang! I didn't mean o send that to you! Lol!
4847,0,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
1307,1,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
32,0,For fear of fainting with the of all that housework you just did? Quick have a cuppa
2938,0,Hey i've booked the pilates and yoga lesson already... Haha
992,0,Up to Ã¼... Ãœ wan come then come lor... But i din c any stripes skirt...
17,0,Fine if thatÂ’s the way u feel. ThatÂ’s the way its gota b
1268,1,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA
1804,0,The bus leaves at  &lt;#&gt; 
1685,0,Cramps stopped. Going back to sleep
1211,0,Ok then i will come to ur home after half an hour
3356,0,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. 
3351,0,At what time are you coming.
3115,0,I wait 4 Ã¼ inside da car park...
3361,0,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
3309,0,Okie Ã¼ wan meet at bishan? Cos me at bishan now. I'm not driving today.
1279,0,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
3954,0,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
1391,0,"Haha just kidding, papa needs drugs"
4226,0,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
4466,0,Hey u still at the gym?
4398,0,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand."
2514,0,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
2044,0,I can send you a pic if you like :)
4556,0,Gettin rdy to ship comp
1691,0,I don't know but I'm raping dudes at poker
3840,0,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
2216,0,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
2573,1,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
4296,1,Please CALL 08712402578 immediately as there is an urgent message waiting for you
3788,1,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
2399,0,Oh... Kay... On sat right?
1204,1,WIN a year supply of CDs 4 a store of ur choice worth Â£500 & enter our Â£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
2213,0,"Goodmorning, today i am late for 2hrs. Because of back pain."
3544,0,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
823,1,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
4511,0,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
5518,0,Can you pls send me that company name. In saibaba colany
3281,0,I tot it's my group mate... Lucky i havent reply... Wat time do Ã¼ need to leave... 
3744,0,Nobody names their penis a girls name this story doesn't add up at all
4436,0,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
2638,0,Am in gobi arts college
3137,0,You're right I have now that I think about it
4081,0,Hurry home. Soup is DONE!
2120,0,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
4755,0,U wan 2 haf lunch i'm in da canteen now.
1290,0,Eat jap done oso aft ur lect wat... Ãœ got lect at 12 rite... 
1653,0,I was at bugis juz now wat... But now i'm walking home oredi... Ãœ so late then reply... I oso saw a top dat i like but din buy... Where r Ã¼ now? 
4543,0,I've been trying to reach him without success
4734,1,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
3182,0,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
3503,0,Free any day but i finish at 6 on mon n thurs...
1077,0,"Yep, by the pretty sculpture"
5181,0,I sent them. Do you like?
2656,0,Feel like trying kadeem again? :V
236,0,Or ill be a little closer like at the bus stop on the same street
3406,0,HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.
3949,0,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
2999,0,"Oh, then your phone phoned me but it disconnected"
5191,0,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
5015,0,I think the other two still need to get cash but we can def be ready by 9
4188,0,Mm umma ask vava also to come tell him can play later together
1239,0,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
3231,0,No plm i will come da. On the way.
3415,0,He remains a bro amongst bros
2711,0,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
3631,0,Thank you princess! You are so sexy...
